SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
0444,299,108,104,550,303,55.09090909090909,35.64356435643565,34.32343234323432,1.3201320132013237,MORENA
0445,316,110,87,635,317,49.92125984251968,34.70031545741325,27.444794952681388,7.255520504731859,MORENA
0446,312,117,90,672,318,47.32142857142857,36.79245283018868,28.30188679245283,8.49056603773585,MORENA
0448,1426,592,434,3497,1445,41.321132399199314,40.96885813148789,30.034602076124568,10.934256055363324,MORENA
0449,1044,339,446,1977,1069,54.071825998988366,31.711880261927035,41.721234798877454,-10.009354536950418,ALIANZA
0450,521,214,138,1128,537,47.6063829787234,39.85102420856611,25.69832402234637,14.15270018621974,MORENA
0451,589,244,204,1187,593,49.95787700084246,41.14671163575042,34.401349072512645,6.7453625632377765,MORENA
0452,654,249,198,1288,660,51.24223602484472,37.72727272727273,30,7.727272727272727,MORENA
0453,376,135,92,723,383,52.97372060857538,35.24804177545692,24.02088772845953,11.227154046997388,MORENA
0454,541,181,192,966,643,66.563146997929607,28.149300155520994,29.860031104199066,-1.7107309486780728,ALIANZA
0455,304,79,138,556,308,55.39568345323741,25.649350649350648,44.8051948051948,-19.155844155844154,ALIANZA
0456,428,105,250,719,433,60.22253129346314,24.249422632794456,57.736720554272516,-33.48729792147806,ALIANZA
0457,337,96,151,539,344,63.821892393320965,27.906976744186046,43.895348837209305,-15.988372093023258,ALIANZA
0458,385,108,195,677,394,58.197932053175776,27.411167512690355,49.49238578680203,-22.081218274111677,ALIANZA
0459,534,150,256,906,544,60.04415011037528,27.573529411764707,47.05882352941177,-19.48529411764706,ALIANZA
0460,511,169,209,879,523,59.49943117178612,32.31357552581262,39.961759082217974,-7.648183556405357,ALIANZA
0461,505,167,177,853,518,60.726846424384526,32.23938223938224,34.16988416988417,-1.9305019305019329,ALIANZA
0462,381,147,111,685,383,55.91240875912409,38.38120104438642,28.98172323759791,9.39947780678851,MORENA
0463,586,214,175,1240,582,46.935483870967744,36.76975945017182,30.06872852233677,6.701030927835049,MORENA
0464,535,203,158,986,538,54.563894523326574,37.732342007434944,29.36802973977695,8.364312267657994,MORENA
0465,292,121,95,633,311,49.13112164296999,38.90675241157556,30.54662379421222,8.36012861736334,MORENA
0466,320,112,121,595,329,55.294117647058826,34.04255319148936,36.77811550151976,-2.735562310030396,ALIANZA
0467,370,116,134,754,380,50.39787798408488,30.526315789473685,35.26315789473684,-4.7368421052631575,ALIANZA
0468,636,226,231,1176,656,55.78231292517007,34.451219512195124,35.21341463414634,-0.7621951219512155,ALIANZA
0469,214,57,106,421,223,52.96912114014252,25.56053811659193,47.53363228699551,-21.973094170403584,ALIANZA
0470,290,80,145,537,294,54.74860335195531,27.210884353741495,49.31972789115646,-22.108843537414966,ALIANZA
0471,755,186,402,1201,766,63.78018318068276,24.281984334203656,52.48041775456919,-28.198433420365532,ALIANZA
0472,780,145,530,1083,784,72.3915050784857,18.494897959183675,67.60204081632654,-49.10714285714286,ALIANZA
0473,939,180,609,1362,947,69.53010279001468,19.00739176346357,64.30834213305174,-45.300950369588165,ALIANZA
0474,2276,586,1306,3522,2307,65.50255536626916,25.40095361941916,56.61031642826181,-31.209362808842652,ALIANZA
0475,369,82,236,500,377,75.4,21.750663129973475,62.59946949602122,-40.84880636604775,ALIANZA
0476,345,65,229,502,350,69.7211155378486,18.571428571428573,65.42857142857143,-46.85714285714286,ALIANZA
0477,590,144,338,889,597,67.1541057367829,24.12060301507538,56.61641541038526,-32.49581239530988,ALIANZA
0478,329,101,140,626,329,52.55591054313099,30.699088145896656,42.5531914893617,-11.854103343465045,ALIANZA
0479,292,78,166,489,299,61.14519427402863,26.08695652173913,55.51839464882943,-29.4314381270903,ALIANZA
0480,283,68,139,495,289,58.38383838383838,23.529411764705884,48.09688581314879,-24.567474048442904,ALIANZA
0481,326,113,131,637,332,52.119309262166404,34.036144578313255,39.45783132530121,-5.421686746987952,ALIANZA
0482,387,139,142,804,387,48.134328358208954,35.917312661498705,36.69250645994832,-0.7751937984496138,ALIANZA
0483,315,120,118,630,313,49.682539682539684,38.33865814696485,37.69968051118211,0.6389776357827444,MORENA
0484,393,201,153,1025,430,41.951219512195124,46.74418604651163,35.58139534883721,11.162790697674417,MORENA
0485,606,243,109,1091,466,42.71310724106324,52.14592274678112,23.390557939914164,28.755364806866954,MORENA
0486,547,290,146,1415,555,39.2226148409894,52.252252252252255,26.306306306306308,25.945945945945947,MORENA
0487,524,306,76,1271,511,40.20456333595594,59.88258317025441,14.87279843444227,45.00978473581213,MORENA
0488,394,150,159,997,408,40.92276830491475,36.76470588235294,38.970588235294116,-2.205882352941174,ALIANZA
0489,233,104,74,692,233,33.67052023121387,44.63519313304721,31.759656652360515,12.875536480686694,MORENA
0490,256,123,73,584,259,44.34931506849315,47.49034749034749,28.185328185328185,19.305019305019304,MORENA
0491,373,156,143,741,377,50.87719298245614,41.37931034482759,37.93103448275862,3.448275862068968,MORENA
0492,311,112,138,670,320,47.76119402985075,35,43.125,-8.125,ALIANZA
0493,347,121,141,621,347,55.87761674718197,34.87031700288185,40.63400576368876,-5.7636887608069145,ALIANZA
0494,309,95,129,639,311,48.6697965571205,30.54662379421222,41.47909967845659,-10.932475884244372,ALIANZA
0495,205,85,75,503,212,42.14711729622267,40.094339622641506,35.37735849056604,4.7169811320754675,MORENA
0498,774,326,235,1531,785,51.273677335075114,41.52866242038217,29.936305732484076,11.592356687898093,MORENA
0499,1258,276,764,1787,1276,71.40458869613877,21.630094043887148,59.874608150470216,-38.24451410658307,ALIANZA
0500,527,151,276,823,538,65.37059538274605,28.066914498141266,51.301115241635685,-23.23420074349442,ALIANZA
0501,1157,294,637,1804,1178,65.29933481152993,24.95755517826825,54.07470288624788,-29.117147707979626,ALIANZA
0502,595,144,315,867,604,69.66551326412917,23.841059602649008,52.152317880794705,-28.311258278145697,ALIANZA
0503,750,170,435,1136,759,66.81338028169014,22.397891963109355,57.312252964426875,-34.914361001317516,ALIANZA
0504,773,180,428,1111,788,70.92709270927092,22.84263959390863,54.31472081218274,-31.472081218274113,ALIANZA
0505,831,196,505,1266,842,66.5086887835703,23.27790973871734,59.97624703087886,-36.69833729216152,ALIANZA
0506,804,125,590,1140,817,71.66666666666667,15.299877600979192,72.21542227662178,-56.915544675642586,ALIANZA
0507,224,80,90,424,226,53.301886792452834,35.39823008849557,39.823008849557525,-4.424778761061951,ALIANZA
0508,413,110,208,632,412,65.18987341772151,26.699029126213592,50.48543689320388,-23.78640776699029,ALIANZA
0509,913,392,306,1785,932,52.212885154061624,42.06008583690987,32.832618025751074,9.227467811158796,MORENA
0510,604,134,253,449,463,103.11804008908686,28.94168466522678,54.64362850971922,-25.70194384449244,ALIANZA
0511,184,87,49,382,184,48.167539267015705,47.28260869565217,26.630434782608695,20.652173913043477,MORENA
0513,518,198,174,1066,521,48.87429643527204,38.00383877159309,33.397312859884835,4.606525911708253,MORENA
0514,954,396,320,2037,913,44.820814923907704,43.373493975903614,35.049288061336256,8.324205914567358,MORENA
0515,124,68,35,301,130,43.18936877076412,52.30769230769231,26.923076923076923,25.384615384615383,MORENA
0516,245,88,111,392,249,63.52040816326531,35.34136546184739,44.57831325301205,-9.23694779116466,ALIANZA
0517,475,123,286,816,487,59.681372549019606,25.256673511293634,58.72689938398357,-33.47022587268994,ALIANZA
0518,490,85,331,701,496,70.75606276747503,17.137096774193548,66.73387096774194,-49.596774193548384,ALIANZA
0519,411,154,164,728,415,57.005494505494504,37.10843373493976,39.51807228915663,-2.409638554216869,ALIANZA
0520,444,187,184,863,455,52.72305909617613,41.0989010989011,40.43956043956044,0.6593406593406641,MORENA
0521,387,155,139,717,392,54.67224546722455,39.54081632653061,35.45918367346939,4.08163265306122,MORENA
0522,340,103,160,527,333,63.18785578747628,30.93093093093093,48.048048048048045,-17.117117117117115,ALIANZA
0523,279,141,76,521,283,54.31861804222649,49.82332155477032,26.85512367491166,22.968197879858657,MORENA
0524,2765,530,1782,4010,2791,69.60099750623442,18.989609458975277,63.8480831243282,-44.85847366535292,ALIANZA
0525,320,88,155,456,320,70.17543859649123,27.5,48.4375,-20.9375,ALIANZA
0526,387,102,205,582,393,67.52577319587628,25.954198473282442,52.162849872773535,-26.208651399491092,ALIANZA
0527,447,155,200,815,456,55.95092024539877,33.99122807017544,43.85964912280702,-9.868421052631582,ALIANZA
0528,519,217,191,928,529,57.00431034482759,41.02079395085066,36.10586011342155,4.9149338374291105,MORENA
0529,424,159,170,1023,426,41.64222873900293,37.32394366197183,39.906103286384976,-2.582159624413144,ALIANZA
0530,299,123,119,698,302,43.26647564469914,40.728476821192054,39.40397350993378,1.324503311258276,MORENA
0532,7215,1924,3674,13054,7292,55.86027271334457,26.385079539221064,50.38398244651673,-23.99890290729567,ALIANZA
0533,453,198,151,1434,449,31.311018131101815,44.097995545657014,33.630289532293986,10.467706013363028,MORENA
0534,448,226,123,1322,460,34.79576399394856,49.130434782608695,26.73913043478261,22.391304347826086,MORENA
0535,337,158,110,879,348,39.59044368600683,45.40229885057471,31.60919540229885,13.793103448275858,MORENA
0536,759,340,221,1834,772,42.093784078516904,44.04145077720207,28.626943005181346,15.414507772020727,MORENA
0537,445,115,213,750,449,59.86666666666667,25.612472160356347,47.43875278396437,-21.82628062360802,ALIANZA
0538,778,253,325,1344,787,58.55654761904762,32.14739517153748,41.29606099110546,-9.14866581956798,ALIANZA
0539,691,215,262,1157,651,56.26620570440795,33.02611367127496,40.245775729646695,-7.219662058371732,ALIANZA
0540,359,130,159,626,366,58.466453674121404,35.51912568306011,43.442622950819676,-7.923497267759565,ALIANZA
0541,580,287,171,1336,588,44.01197604790419,48.80952380952381,29.081632653061224,19.727891156462587,MORENA
0542,401,141,151,666,406,60.96096096096096,34.72906403940887,37.19211822660098,-2.463054187192114,ALIANZA
0543,439,198,134,1005,452,44.975124378109456,43.80530973451327,29.646017699115045,14.159292035398227,MORENA
0544,580,224,214,1104,582,52.71739130434783,38.487972508591064,36.76975945017182,1.718213058419245,MORENA
0545,524,243,146,1159,538,46.41932700603969,45.16728624535316,27.13754646840149,18.029739776951672,MORENA
