"DIPUTACIONES LOCALES (INCLUYE RESULTADOS DE MAYORIA RELATIVA Y REPRESENTACION PROPORCIONAL)"
"07/06/2021 13:19 (UTC-7)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATÁLOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
3773,3804,31,3773,100.0000,3166,83.9120,23.0585,607,1841000,809615,803712,43.9769

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,CC_PAN_PRI_PRD,CC_MORENA_PT_PVEM_NA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,CAND_IND_JHZM,CAND_IND_JME,CAND_IND_CSVB,CAND_IND_JTVG,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'260670B0100,'260670B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0670,0001,B,0,1,3,531,226,7,233,-,-,31,35,1,5,11,24,94,-,8,1,16,-,-,-,-,2,1,0,0,0,4,233,233,720,44,,1,D,b298453d1446e925826984756f259f377ce5f80b53b4530fe5a2929d27d5f2f7,"07/06/2021 01:39:00","07/06/2021 03:40:19","07/06/2021 03:40:26",CATD,ESCANER,"ACTA PREP"
'260670C0100,'260670C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0670,0001,C,0,1,3,521,240,2,243,-,-,28,32,1,9,7,27,103,-,14,1,11,-,-,-,-,3,0,0,0,0,7,243,243,720,44,,1,D,62d4b476278f08e98a018c682101c9e5be6248ce4be1cb85cba43d3a03ca2d79,"07/06/2021 01:38:00","07/06/2021 02:40:57","07/06/2021 02:41:03",CATD,ESCANER,"ACTA PREP"
'260670C0200,'260670C02003,26,SONORA,001,"SAN LUIS RIO COLORADO",0670,0002,C,0,1,3,499,257,7,261,-,-,28,48,1,6,5,28,104,-,23,4,8,-,-,-,-,6,0,0,0,0,0,6,261,720,44,,1,D,67d351ecf1e00ec92e3676eb3e609bb79e275775530981452e933c5f631cd071,"07/06/2021 01:35:00","07/06/2021 03:46:33","07/06/2021 03:47:19",CATD,ESCANER,"ACTA PREP"
'260670C0300,'260670C03003,26,SONORA,001,"SAN LUIS RIO COLORADO",0670,0003,C,0,1,3,518,207,0,207,-,-,"Sin dato",40,2,8,6,22,90,-,"Sin dato",2,19,-,-,-,-,3,2,"Sin dato","Sin dato",4,9,207,207,720,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,7255f953078ad493c4a461dc0638dc94878e6f4324392d1f65d5888f847bcd21,"07/06/2021 01:03:00","07/06/2021 02:38:37","07/06/2021 02:38:46",CATD,ESCANER,"ACTA PREP"
'260670C0400,'260670C04003,26,SONORA,001,"SAN LUIS RIO COLORADO",0670,0004,C,0,1,3,542,219,0,0,-,-,26,39,0,6,8,33,85,-,10,0,7,-,-,-,-,"Sin dato",2,"Sin dato","Sin dato",1,3,219,220,720,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,0d94f45942601d5f84776cca509c2fcfe37e4dc5036d30d4935f077e5af803f5,"07/06/2021 00:59:00","07/06/2021 02:06:07","07/06/2021 02:06:31",CATD,ESCANER,"ACTA PREP"
'260670C0500,'260670C05003,26,SONORA,001,"SAN LUIS RIO COLORADO",0670,0005,C,0,1,3,526,230,6,237,-,-,22,43,1,15,3,38,89,-,6,0,11,-,-,-,-,4,"Sin dato","Sin dato","Sin dato",1,4,237,237,719,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,650ee87b975ab9119fcca576c5c9147609a613fba1e4af43265850415715bf93,"07/06/2021 01:32:00","07/06/2021 03:12:53","07/06/2021 03:13:06",CATD,ESCANER,"ACTA PREP"
'260671B0100,'260671B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0671,0001,B,0,1,3,235,183,8,191,-,-,41,54,3,3,0,9,49,-,12,1,8,-,-,-,-,5,1,0,0,1,3,191,190,382,44,,1,D,da5b398dd6e1700927f6bfa4aec0a46d11673b8e27eedd9c06315cac0766daa2,"06/06/2021 22:05:00","06/06/2021 22:08:21","06/06/2021 22:10:22",CATD,ESCANER,"ACTA PREP"
'260672B0100,'260672B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0672,0001,B,0,1,3,0,0,0,0,-,-,59,45,1,2,2,16,78,-,5,2,8,-,-,-,-,2,"Sin dato","Sin dato","Sin dato",1,5,226,226,624,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,6d76ad030212b60c4891e2aaeb7268506f7e5e96dc8d10455852f70732f15a40,"06/06/2021 22:11:50","06/06/2021 22:40:06","06/06/2021 22:40:24",CASILLA,MOVIL,"ACTA PREP"
'260673B0100,'260673B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0673,0001,B,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390,44,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 05:48:00","07/06/2021 06:52:55","07/06/2021 06:52:55",CATD,ESCANER,"ACTA PREP"
'260673C0100,'260673C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0673,0001,C,0,1,3,302,122,8,130,-,-,27,29,2,4,3,12,36,-,8,0,2,-,-,-,-,0,0,0,0,0,5,128,128,389,44,,1,D,7623d2218d934082563b790582f1afe0dd3ee8d68f01a3f78c46cf0976441e61,"06/06/2021 20:29:24","06/06/2021 20:32:44","06/06/2021 20:32:54",CASILLA,MOVIL,"ACTA PREP"
